Review
Awesome
Awesome phone … value for money.. Happy with battery life.. Awesome camera features… look at the images snapped using the phone… easy to use.. Just feared about getting scratch at back glass… but using cover helped it…
The brand is very trustworthy and i got genuine pice at a very low cost.I ordered the green one and trust me the colour was amazing.All the colours but specifically green and purple are nice for look.Thanks to flipkart
"Wow superb camera phoneVery smooth speed and no lag , iphone is the king alwaysIts a beautiful product"
Go for it
Amazing phoneIn love with this phone
Awesome Camera
Camera quality is just fabulous. Interface is very smooth.  Good for photography and videography.
Best iPhone till date
Super
This is the value for money phone.For Flipkart:On time delieveryAlways best serviceFeedback call received after 5 daysApple:One word: SuperbPicture Quality Ultimate
Performance is soooo fastEspecially faceid detection is awesome even in darkNo need to carry an dslr .this is more than enough attaching puc taken by this
Classic
Excellent
Upgraded from iPhone 7 plus after using for more then 3yrs. Excellent built & box design looks great. Night mode clicks look fabulous.
I am very happy with I phone 12Very Nice Product Thanku Flipkart
Nice camera
This z my frst iphone n … outstanding phone …must buy.
"Excellent product worth for every penny, writing this review after using 7 days, earlier was using iPhone 6Plus now on iPhone 12 , faster then anything this else.Excellent Picture quality.Just loved it.!!"
"Everything is great except the battery life, camera is awesome"
"display is good , processor is awesome"
Awesome camera performance and improvement in battery capacity
"Top class performance  and battery backup too. Charges quickly if u are using a 20w charger. Night mode is good , HDR mode works flawlessly. VFM phone."
"Guys ,this is just Beast at Every Aspect of Configurations, Full Pack with What You want, Like Best Camera , Best Display, Best Battery for whole Day Use, And Everyone know About Processing Speed.."
Awesome camera quality…just love it
Just go for itI purchased 128 gb purple colourThe phone is beast
Don't think too much.. Just go for it.. If you are a clicker then you are gonna love it.. Display sound features are as usually excellent..
Nice phone
Nice phone with good build qualityExcellent Camera
Best ever Mobile. Worth every penny. Overall a good purchase. Processor is superfast. Loved it
Love it.
Nice
Thanks flipkart i trust you got my device perfectly loved it best phone in it's segment
Excellent.. Product
"Almost 1month of purshase and i am loving it .Great for photography and videography and trust me the stability of video is awesome .High end performence in Gaming , the only problem is that it heats up a little while playing Bgmi but if u play in a AC room then there's no issue .The boxy look of iphone 12 is very good and it gives a premium feel while holding .worth buying .also if you are confused between iph 11 or iph12 then close your eyes and go for iphone 12 ."
Good
Best performance iPhone!! Loving it
Awesome look
Great camera
Excellent camera and awesome performance
I always prefer iPhone because of their camera quality n camera quality of iPhone 12 is top notch.
"Thanx flipkart for value super sale for short time period of 1hour, flipkart might need to work on faster deliveryIphone 12 which i got in best price on flipkart1. Camera performance - superb2. Display - superb3. Interface - Amazing"
"This is my first apple product and I am loving it , purchased in BBD sale and it's worth every penny ."
"Night picture quality awesome, portrait is real portrait"
Best in class!!!
Very nice Camera
Wow
Good
Just love it …..
Love to have that mobile. Once again back on apple product after iphone 5s. Very smooth.
Camera extraordinary and I loved it
"I really m glad that i went for i phone in place of all other android devices like the Samsung S series nd one plus .Also , m amazed by the battery life in this i phone . Single charge and its last for a day easily ..Even the gaming experience was great"
The design is superb I just love it. Awesome feeling while in hand
Mind blowing performance  Just awesome.
Super
Quality Product
It is a very good product with amazing features.Looks great!
"My 1st iPhone ever and I’m loving it. Great performance, awesome display, camera is outstanding which comes with heavily priced. But worth it. White color looks super cool."
"Perfect phone , Apple after allGo for it eyes closed if in the budget.Camera best quality, crystal clear photos and super stable videos at 4k 30/60 fps,best slow motion in the phone ever.Performance : best then any android (even 1+ 9 pro )Battery life  last for a day use anyhow.Super smooth software experience.Topnotch security level Very lightweight to hold."
Very good
Its My First iPhone bought from 1st Job.Very HappyThis product is a beast in pocket.
Very good phone
Amazing looks.
Just too good
